===== CBOD RESULTS =====
     sp     dp     pr  fwd  stos  ipkt   ibyt      opkt  obyt  sas  das  dtos  dir  ts_month  ts_day  ts_hour  ts_minute  ts_second  ts_msecond  te_month  te_day  te_hour  te_minute  te_second  te_msecond  tr_month  tr_day  tr_hour  tr_minute  tr_second  tr_msecond  sa1  sa2  sa3  sa4  da1  da2  da3  da4  flg_ACK  flg_PSH  flg_RST  flg_SYN  flg_FIN  sp_is_privileged  dp_is_privileged
809  47172     23   2    0     0      1        55     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  192  241  204  201  157  138   20   19        0        0        0        0        0                 0                 1
816   7708   2096   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  162  142  125  139  157  138   28  110        0        0        0        1        0                 0                 0
817  29873     44   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  111    7   96  132  157  138   24    6        0        0        0        1        0                 0                 1
818  33696   8195   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  111    7   96  133  157  138   20  215        0        0        0        1        0                 0                 0
823  51340     23   2    0     0      1        55     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  192  241  204  201  157  138   20   20        0        0        0        0        0                 0                 1
825  23715  25084   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  162  142  125   80  157  138   20  183        0        0        0        1        0                 0                 0
826  46032    443   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  154  209  125   67  157  138   28  197        0        0        0        1        0                 0                 1
827  38472   9099   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  111    7   96  133  157  138   24   44        0        0        0        1        0                 0                 0
831  27769   5282   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  111    7   96  132  157  138   24    6        0        0        0        1        0                 0                 0
833   1024     23   1    0     8      2       100     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  182  240  197   65  157  138   22  109        0        0        0        1        0                 0                 1
835  56591     23   2    0     0      1        54     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  192  241  204  201  157  138   22    2        0        0        0        0        0                 0                 1
838  20085   8537   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  111    7   96  132  157  138   24    6        0        0        0        1        0                 0                 0
839  26450   4525   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  111    7   96  133  157  138   28  204        0        0        0        1        0                 0                 0
841  46690   6363   1    0     4      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0   43  129   40  155  157  138   24  140        0        0        0        1        0                 0                 0
843  53958     23   2    0     0      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  192  241  204  201  157  138   28  212        0        0        0        0        0                 0                 1
855  60490     22   2    0     0      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  192  241  196  182  157  138   24  208        0        0        0        0        0                 0                 1
859  57558   5555   1    0     4      1        50     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  185  112   83   86  157  138   20   55        0        0        0        1        0                 0                 0
864  12248   8683   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  111    7   96  133  157  138   20  215        0        0        0        1        0                 0                 0
865  42433   8288   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  111    7   96  132  157  138   24    6        0        0        0        1        0                 0                 0
866  57606     23   2    0     0      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  192  241  204  201  157  138   22  171        0        0        0        0        0                 0                 1
884  27212   6060   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         32           0         8      31       14         56         32           0         8      31       14         57          1           0  111    7   96  133  157  138   24   44        0        0        0        1        0                 0                 0
892  33255     23   1    0     0      1        50     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0  220  132  238   27  157  138   20  120        0        0        0        1        0                 0                 1
895  52817   3445   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0  111    7   96  133  157  138   28  204        0        0        0        1        0                 0                 0
